2018-02-01 15:48:53,391 | SegmentFactory.py | SegmentFactory | 58 | INFO    : 加载用户词典结束：['resources/new_tag_words.dic', 'resources/new_wiki_words.dic']
2018-02-01 17:26:17,425 | SegmentFactory.py | SegmentFactory | 58 | INFO    : 加载用户词典结束：['resources/new_tag_words.dic', 'resources/new_wiki_words.dic']
2018-02-01 18:34:35,457 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词完成：['resources/stoplists/cn.txt', 'resources/stoplists/en.txt']
2018-02-01 18:34:50,125 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词完成：['resources/stoplists/cn.txt', 'resources/stoplists/en.txt']
2018-02-01 18:37:45,226 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词完成：../resources/stoplists/cn.txt
2018-02-01 18:38:50,516 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：.
2018-02-01 18:38:50,517 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：.
2018-02-01 18:38:50,517 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：/
2018-02-01 18:38:50,517 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：r
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：e
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：s
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：o
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：u
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：r
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：c
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：e
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：s
2018-02-01 18:38:50,518 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：/
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：s
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：t
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：o
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：p
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：l
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：i
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：s
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：t
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：s
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：/
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：c
2018-02-01 18:38:50,519 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：n
